PLAYER_NAME,PTS,REB,AST,STL,BLK,GAME_DATE
A.J. Lawson,12,5,2,0,0,2024-04-14
A.J. Lawson,2,6,2,0,0,2024-04-12
A.J. Lawson,0,2,1,0,0,2024-04-10
A.J. Lawson,2,0,0,0,0,2024-04-09
A.J. Lawson,0,0,1,0,0,2024-04-05
A.J. Lawson,0,1,0,0,0,2024-04-04
A.J. Lawson,0,1,0,0,0,2024-03-31
A.J. Lawson,6,1,0,0,0,2024-03-26
A.J. Lawson,0,0,0,0,0,2024-03-25
A.J. Lawson,2,0,0,0,0,2024-03-21
AJ Green,2,0,0,1,0,2024-04-10
AJ Green,6,1,0,0,0,2024-04-09
AJ Green,2,0,0,1,0,2024-04-07
AJ Green,6,3,0,0,0,2024-04-05
AJ Green,9,4,2,1,1,2024-04-03
AJ Green,6,0,1,0,0,2024-04-02
AJ Green,2,0,0,0,1,2024-03-30
AJ Green,0,0,0,0,0,2024-03-28
AJ Green,0,2,0,1,0,2024-03-26
AJ Green,15,2,0,0,0,2024-03-21
AJ Griffin,8,0,0,0,1,2024-04-14
AJ Griffin,3,4,1,0,0,2024-04-12
AJ Griffin,0,1,0,0,0,2024-01-30
AJ Griffin,0,0,0,0,0,2024-01-24
AJ Griffin,2,0,0,0,0,2024-01-20
AJ Griffin,0,1,0,0,0,2024-01-13
AJ Griffin,2,0,0,0,1,2024-01-12
AJ Griffin,3,0,0,0,0,2024-01-05
Aaron Gordon,15,5,5,0,1,2024-04-14
Aaron Gordon,13,4,4,1,0,2024-04-12
Aaron Gordon,5,5,9,1,0,2024-04-10
Aaron Gordon,18,6,7,1,2,2024-04-04
Aaron Gordon,23,7,4,1,1,2024-04-02
Aaron Gordon,8,8,5,1,0,2024-03-31
Aaron Gordon,14,7,4,0,0,2024-03-29
Aaron Gordon,18,6,2,0,0,2024-03-27
Aaron Gordon,22,12,5,0,3,2024-03-23
Aaron Gordon,10,4,8,1,0,2024-03-21
Aaron Holiday,9,2,2,1,0,2024-04-14
Aaron Holiday,18,2,2,0,0,2024-04-12
Aaron Holiday,6,2,1,0,0,2024-04-11
Aaron Holiday,3,0,0,1,0,2024-04-07
Aaron Holiday,0,0,1,0,0,2024-04-05
Aaron Holiday,6,0,1,0,0,2024-04-04
Aaron Holiday,0,0,2,1,0,2024-04-02
Aaron Holiday,16,5,2,2,0,2024-03-31
Aaron Holiday,0,0,1,0,0,2024-03-29
Aaron Holiday,4,2,2,0,0,2024-03-27
Aaron Nesmith,8,3,1,1,0,2024-04-14
Aaron Nesmith,15,6,0,0,0,2024-04-12
Aaron Nesmith,8,4,2,2,0,2024-04-09
Aaron Nesmith,16,5,3,0,2,2024-04-07
Aaron Nesmith,17,4,1,1,0,2024-04-05
Aaron Nesmith,9,5,2,0,0,2024-04-03
Aaron Nesmith,11,4,0,0,0,2024-04-01
Aaron Nesmith,12,4,2,1,1,2024-03-29
Aaron Nesmith,6,5,3,0,0,2024-03-27
Aaron Nesmith,13,3,4,0,2,2024-03-24
Aaron Wiggins,14,6,1,1,0,2024-04-14
Aaron Wiggins,19,3,3,2,0,2024-04-12
Aaron Wiggins,7,2,3,2,0,2024-04-10
Aaron Wiggins,7,4,1,0,1,2024-04-09
Aaron Wiggins,26,2,5,6,0,2024-04-07
Aaron Wiggins,4,1,1,0,0,2024-04-05
Aaron Wiggins,10,1,5,1,1,2024-04-03
Aaron Wiggins,15,4,1,3,1,2024-04-02
Aaron Wiggins,4,3,2,1,1,2024-03-31
Aaron Wiggins,15,4,2,1,0,2024-03-29
Adama Sanogo,22,20,0,1,0,2024-04-12
Adama Sanogo,4,6,0,0,0,2024-04-11
Adama Sanogo,0,1,0,0,0,2024-04-09
Adama Sanogo,0,1,0,0,0,2024-04-07
Adama Sanogo,0,1,0,0,0,2024-04-01
Adama Sanogo,2,1,0,0,0,2024-03-16
Adama Sanogo,0,0,0,0,0,2024-01-03
Adama Sanogo,8,6,0,0,0,2024-01-02
Admiral Schofield,3,2,1,0,0,2024-04-10
Admiral Schofield,0,0,0,0,0,2024-04-07
Admiral Schofield,3,2,1,0,0,2024-03-30
Admiral Schofield,0,1,0,0,0,2024-03-21
Admiral Schofield,5,1,0,1,0,2024-03-19
Admiral Schofield,0,1,0,0,0,2024-03-17
Admiral Schofield,0,0,0,0,0,2024-03-13
Admiral Schofield,0,1,0,0,0,2024-03-08
Admiral Schofield,0,0,0,0,0,2024-03-05
Admiral Schofield,0,1,0,0,0,2024-03-03
Al Horford,6,2,1,1,2,2024-04-11
Al Horford,7,6,3,1,0,2024-04-07
Al Horford,8,6,1,0,1,2024-04-05
Al Horford,16,4,2,0,1,2024-04-03
Al Horford,15,5,3,0,0,2024-04-01
Al Horford,9,6,2,1,1,2024-03-30
Al Horford,7,9,2,1,1,2024-03-25
Al Horford,23,8,1,0,0,2024-03-23
Al Horford,8,4,4,1,1,2024-03-20
Al Horford,14,4,2,0,0,2024-03-17
Alec Burks,5,1,4,1,0,2024-04-12
Alec Burks,0,2,0,0,0,2024-04-05
Alec Burks,0,0,0,2,0,2024-04-04
Alec Burks,0,2,0,0,0,2024-04-02
Alec Burks,5,2,1,0,0,2024-03-31
Alec Burks,5,2,1,0,0,2024-03-23
Alec Burks,18,5,1,2,0,2024-03-21
Alec Burks,5,1,1,0,0,2024-03-18
Alec Burks,12,3,2,0,0,2024-03-16
Alec Burks,5,1,0,0,0,2024-03-14
Aleksej Pokusevski,8,5,3,1,0,2024-04-14
Aleksej Pokusevski,8,5,1,0,1,2024-04-12
Aleksej Pokusevski,10,6,1,1,1,2024-04-10
Aleksej Pokusevski,4,4,1,0,1,2024-04-09
Aleksej Pokusevski,14,9,0,0,1,2024-04-07
Aleksej Pokusevski,10,2,2,0,0,2024-04-05
Aleksej Pokusevski,11,3,1,0,2,2024-04-03
Aleksej Pokusevski,3,4,2,1,0,2024-04-01
Aleksej Pokusevski,6,3,0,1,0,2024-03-29
Aleksej Pokusevski,10,7,1,0,0,2024-03-27
Alex Caruso,15,5,8,5,0,2024-04-14
Alex Caruso,8,4,10,2,0,2024-04-11
Alex Caruso,9,5,6,2,2,2024-04-09
Alex Caruso,7,1,4,1,0,2024-04-05
Alex Caruso,8,5,3,2,2,2024-04-01
Alex Caruso,21,5,5,5,0,2024-03-31
Alex Caruso,6,3,5,0,1,2024-03-29
Alex Caruso,12,7,7,2,0,2024-03-27
Alex Caruso,12,6,5,2,1,2024-03-25
Alex Caruso,14,3,3,1,0,2024-03-23
Alex Fudge,11,2,0,3,0,2024-04-14
Alex Fudge,0,1,0,0,0,2024-04-12
Alex Len,2,2,1,0,1,2024-04-14
Alex Len,2,0,3,0,0,2024-04-12
Alex Len,2,1,1,0,0,2024-04-11
Alex Len,0,4,2,0,1,2024-04-09
Alex Len,0,3,3,0,1,2024-04-07
Alex Len,0,0,0,0,0,2024-04-05
Alex Len,2,1,2,0,0,2024-04-04
Alex Len,4,7,1,1,3,2024-04-02
Alex Len,0,2,1,0,1,2024-03-31
Alex Len,0,3,3,0,0,2024-03-29
Alperen Sengun,14,6,2,2,0,2024-03-10
Alperen Sengun,19,9,6,1,1,2024-03-08
Alperen Sengun,23,19,14,2,0,2024-03-06
Alperen Sengun,45,16,3,5,1,2024-03-05
Alperen Sengun,21,10,2,2,1,2024-03-02
Alperen Sengun,8,3,4,0,0,2024-02-29
Alperen Sengun,23,11,6,2,2,2024-02-27
Alperen Sengun,19,12,2,1,1,2024-02-25
Alperen Sengun,17,12,4,0,1,2024-02-23
Alperen Sengun,20,9,2,1,0,2024-02-22
Amari Bailey,11,5,5,2,0,2024-04-14
Amari Bailey,5,2,0,0,0,2024-04-12
Amari Bailey,0,0,0,0,0,2024-03-29
Amari Bailey,0,0,0,0,0,2024-03-25
Amari Bailey,0,0,0,0,0,2024-03-23
Amari Bailey,2,0,1,1,0,2024-03-19
Amari Bailey,0,0,0,0,0,2024-03-15
Amari Bailey,0,0,1,0,0,2024-02-09
Amen Thompson,18,11,10,3,3,2024-04-14
Amen Thompson,17,15,6,0,0,2024-04-12
Amen Thompson,15,10,4,2,0,2024-04-11
Amen Thompson,13,8,4,2,1,2024-04-09
Amen Thompson,5,3,3,0,0,2024-04-07
Amen Thompson,8,4,1,1,0,2024-04-04
Amen Thompson,9,9,4,3,0,2024-04-02
Amen Thompson,8,7,1,2,0,2024-03-31
Amen Thompson,18,14,5,2,1,2024-03-29
Amen Thompson,25,15,4,1,0,2024-03-27
Amir Coffey,18,3,2,1,1,2024-04-14
Amir Coffey,16,6,1,0,1,2024-04-12
Amir Coffey,11,5,1,1,1,2024-04-10
Amir Coffey,13,4,2,2,0,2024-04-09
Amir Coffey,3,1,1,1,0,2024-04-07
Amir Coffey,11,4,0,1,0,2024-04-05
Amir Coffey,9,6,1,1,0,2024-04-04
Amir Coffey,3,2,1,1,0,2024-04-02
Amir Coffey,2,0,2,0,1,2024-03-31
Amir Coffey,6,2,0,1,0,2024-03-29
Andre Drummond,4,2,0,1,0,2024-04-09
Andre Drummond,14,10,0,2,0,2024-04-07
Andre Drummond,10,16,0,3,1,2024-04-05
Andre Drummond,13,18,0,0,0,2024-04-01
Andre Drummond,6,9,0,1,0,2024-03-31
Andre Drummond,6,11,0,0,2,2024-03-29
Andre Drummond,14,11,3,3,0,2024-03-27
Andre Drummond,10,12,1,0,2,2024-03-25
Andre Drummond,7,6,0,0,0,2024-03-23
Andre Drummond,9,8,0,1,1,2024-03-21
Andre Jackson Jr.,0,1,1,1,0,2024-04-14
Andre Jackson Jr.,0,2,0,0,0,2024-04-12
Andre Jackson Jr.,5,3,0,1,0,2024-04-10
Andre Jackson Jr.,0,0,0,0,0,2024-04-09
Andre Jackson Jr.,0,0,0,0,0,2024-04-07
Andre Jackson Jr.,3,4,1,0,1,2024-04-05
Andre Jackson Jr.,0,2,0,0,1,2024-04-03
Andre Jackson Jr.,0,3,2,0,0,2024-03-24
Andre Jackson Jr.,2,4,2,0,0,2024-03-12
Andre Jackson Jr.,0,1,0,0,0,2024-03-06
Andrew Nembhard,10,2,5,1,0,2024-04-14
Andrew Nembhard,10,2,5,0,0,2024-04-12
Andrew Nembhard,8,2,8,0,1,2024-04-09
Andrew Nembhard,10,2,2,3,0,2024-04-07
Andrew Nembhard,3,3,2,1,0,2024-04-05
Andrew Nembhard,8,2,3,1,0,2024-04-03
Andrew Nembhard,7,2,6,0,0,2024-04-01
Andrew Nembhard,10,2,2,1,0,2024-03-29
Andrew Nembhard,18,5,2,2,0,2024-03-27
Andrew Nembhard,9,0,2,1,0,2024-03-25
Andrew Wiggins,19,4,3,2,0,2024-04-14
Andrew Wiggins,18,4,0,0,0,2024-04-12
Andrew Wiggins,15,5,1,1,2,2024-04-11
Andrew Wiggins,17,4,0,0,3,2024-04-09
Andrew Wiggins,10,5,2,0,0,2024-04-04
Andrew Wiggins,23,4,2,1,1,2024-04-02
Andrew Wiggins,4,5,0,0,0,2024-03-31
Andrew Wiggins,20,8,8,2,1,2024-03-29
Andrew Wiggins,23,6,1,0,2,2024-03-27
Andrew Wiggins,17,7,1,0,2,2024-03-26
Anfernee Simons,3,0,6,1,0,2024-03-22
Anfernee Simons,14,4,1,0,1,2024-03-20
Anfernee Simons,30,3,9,0,0,2024-03-18
Anfernee Simons,25,4,8,0,0,2024-03-16
Anfernee Simons,36,7,8,1,0,2024-03-13
Anfernee Simons,17,4,3,0,0,2024-03-11
Anfernee Simons,23,4,7,1,0,2024-03-09
Anfernee Simons,23,3,3,3,0,2024-03-08
